fetched_at_utc,moex_time_msk,cny_rub
2026-08-11T20:31:55Z,19:00:00,12.2440
2026-08-11T21:26:20Z,23:50:02,12.2440
2026-08-12T07:45:01Z,10:30:00,12.2275
2026-08-12T08:55:58Z,11:40:57,12.2785
2026-08-12T10:15:15Z,13:00:14,12.2990
2026-08-12T11:13:58Z,13:58:57,12.3080
2026-08-12T12:01:20Z,14:46:19,12.2935
2026-08-12T13:36:34Z,16:21:34,12.2990
2026-08-12T14:43:25Z,17:28:24,12.2905
2026-08-12T15:41:12Z,18:26:10,12.2810
2026-08-12T16:38:22Z,19:00:00,12.2990
2026-08-12T21:23:38Z,23:50:01,12.2990
2026-08-13T08:11:53Z,10:56:53,12.3875
2026-08-13T09:33:52Z,12:18:46,12.4280
2026-08-13T10:40:58Z,13:25:56,12.4460
2026-08-13T11:28:29Z,14:13:28,12.4565
2026-08-13T12:26:39Z,15:11:38,12.4620
2026-08-13T14:01:17Z,16:46:16,12.4665
2026-08-13T15:07:21Z,17:52:20,12.4660
2026-08-13T16:09:00Z,18:53:37,12.4595
2026-08-13T17:11:23Z,19:00:00,12.4510
2026-08-13T21:55:23Z,23:50:02,12.4510
2026-08-14T08:02:43Z,10:47:42,12.5155
2026-08-14T09:16:27Z,12:01:26,12.4390
2026-08-14T10:29:00Z,13:13:59,12.4705
2026-08-14T11:21:11Z,14:06:09,12.4565
2026-08-14T12:03:35Z,14:48:35,12.4750
2026-08-14T13:34:55Z,16:19:54,12.4725
2026-08-14T14:38:45Z,17:23:45,12.5365
2026-08-14T15:31:08Z,18:16:07,12.5280
2026-08-14T16:27:09Z,19:00:00,12.5350
2026-08-14T21:12:03Z,23:50:02,12.5350
2026-08-17T07:15:06Z,10:00:06,12.5615
2026-08-17T08:05:06Z,10:50:06,12.6130
2026-08-17T09:00:04Z,11:45:03,12.6315
2026-08-17T09:51:57Z,12:36:56,12.6480
2026-08-17T10:21:28Z,13:06:27,12.6740
2026-08-17T10:53:48Z,13:38:44,12.6550
2026-08-17T11:20:22Z,14:05:22,12.6515
2026-08-17T11:46:00Z,14:30:56,12.6360
2026-08-17T12:14:19Z,14:59:16,12.6410
2026-08-17T13:11:42Z,15:56:41,12.6440
2026-08-17T13:53:42Z,16:38:38,12.6490
2026-08-17T14:50:42Z,17:35:41,12.6745
2026-08-17T15:12:34Z,17:57:34,12.6500
2026-08-17T15:42:02Z,18:27:01,12.6135
